ID,author
10724340,Gil Kalai
10724349,Steven Skiena
10724490,Yu Zhou
10724517,Tommaso Di Noia
10724518,Eugenio Di Sciascio
10724519,Francesco M. Donini
10724638,Sven Ove Hansson
10724718,Martin Peterson
10724885,Theodor J. Stewart
10724892,Xin He
10724946,Jordi Vallverdú
10725026,Rabi Bhattacharya
10725091,Anthony C. Atkinson
10725135,Ricardo A. Maronna
10725247,Arkady B. Zaslavsky
10725257,Eibe Frank
10725261,Bernhard Pfahringer
10725268,Tsau Young Lin
10725280,Tao Li 0001
10725306,Pavel Brazdil
10725307,Antonio Congiusta
10725308,Domenico Talia
10725309,Paolo Trunfio
10725311,Cory J. Butz
10725389,L. Venkata Subramaniam
10725406,Marcos Faúndez-Zanuy
10725487,Juan Ares Casal
10725504,Ioanna Roussaki
10725505,Ioannis V. Papaioannou
10725506,Miltiades E. Anagnostou
10725516,Vasile Rus
10725572,Khan M. Iftekharuddin
10725590,Michael L. Littman
10725598,Makoto Yokoo
10725684,Uros Krcadinac
10725696,Luca Anselma
10725708,Barbara Hammer
10725723,Marina L. Gavrilova
10725737,Francisco Flórez-Revuelta
10725797,Abdelsalam Helal
10725844,Xiang-Yang Li 0001
10725866,Yang Zhao
10725950,Abderrahmane Kheddar
10726058,Jun Sun 0001
10726059,Yang Liu 0003
10726254,Pinar Yolum
10726286,Christian Stary
10726345,Gian Pietro Picco
10726384,Wen-Lian Hsu
10726389,Luca Benini
10726404,Lin Liu 0001
10726485,Jay Sethuraman
10726568,Sankar K. Pal
10726617,Gerhard Weber 0002
10726625,Pedro Morillo 0001
10726628,Michael C. Fairhurst
10726714,Jun Lu
10726776,Munindar P. Singh
10726797,Wei Chen
10726855,Ioannis Caragiannis
10726857,Christos Kaklamanis
10726912,Fred W. Glover
10726922,Christian Blum 0001
10726933,Vijay V. Raghavan 0001
10726957,Panagiotis Kanellopoulos
10727023,Qi Han 0001
10727234,Giandomenico Spezzano
10727254,Jürgen Branke
10727278,Giacomo Cabri
10727280,Letizia Leonardi
10727290,Manfred Hauswirth
10727291,Karl Aberer
10727316,Felix Brandt 0001
10727342,Joseph Kee-Yin Ng
10727365,Zakaria Maamar
10727372,Eija Kaasinen
10727433,Kam-yiu Lam
10727439,Peter C. Breedveld
10727512,Paolo Remagnino
10727514,Luca Marchetti
10727515,Daniele Nardi
10727516,Dorothy Ndedi Monekosso
10727548,Wei-Ying Ma
10727549,Hui Li
10727650,Joo-Hwee Lim
10727671,Sebastiano Battiato
10727782,Yu Hen Hu
10727877,Alessandro Vittorio Papadopoulos
10727880,Peng Jiang
10728030,Suresh Jagannathan
10728155,Dingqi Yang
10728205,Quan Z. Sheng
10728229,Giuseppe Pirlo
10728230,Donato Impedovo
10728244,Andreas Dengel 0001
10728264,Xi Zhang
10728268,Yoav Shoham
10728359,John Langford 0001
10728375,Bin Liu
10728424,Jan Peters 0001
10728456,Jun Morimoto
10728548,Siyuan Liu
10728732,Sergio Mascetti
10728770,Leen-Kiat Soh
10728861,Wei Hu
10728901,Craig A. Knoblock
10728925,Xun Zhou
10729024,Olaf Hellwich
10729197,Michael E. Gorman
10729226,Guandong Xu 0001
10729256,Michael J. O'Grady
10729257,Gregory M. P. O'Hare
10729277,Feng Liu
10729418,Vijayalakshmi Atluri
10729725,Hao Wang
10729730,Barry Smyth
10729746,Josep M. Pujol
10729755,Li Chen 0009
10729793,Alexander Felfernig
10729844,David Young
10729875,Yasuyuki Matsushita
10729904,Sylvia C. Pont
10729932,Pramod K. Varshney
10729960,Wanqing Li 0001
10729975,Rui Shen
10729977,Irene Cheng 0001
10729978,Anup Basu
10730017,Gennaro Costagliola
10730164,Wei Dai
10730191,Giancarlo Fortino
10730208,Mark Reynolds 0001
10730209,Clare Dixon
10730244,Michael Fisher 0001
10730341,Fernando Herrera
10730405,David Atienza
10730419,Lynne E. Parker
10730425,Domenico Prattichizzo
10730429,Ian D. Walker
10730431,Kazuhiro Kosuge
10730433,Eric Feron
10730446,Li-Chen Fu
10730462,Danica Kragic
10730477,Dongjun Lee
10730487,Robin R. Murphy
10730492,Raja Chatila 0001
10730512,Allison M. Okamura
10730541,William R. Provancher
10730550,Kerstin Dautenhahn
10730551,Takayuki Kanda 0001
10730582,Kenneth Y. Goldberg
10730621,Woojin Chung
10730629,Eiichi Yoshida
10730631,Manuela M. Veloso
10730633,Heinrich H. Bülthoff
10730636,Karl Iagnemma
10730655,Wataru Takano
10730664,Ignacio E. Grossmann
10730677,Ioannis P. Androulakis
10730680,Lorenz T. Biegler
10730684,Josef Kallrath
10730694,Christodoulos A. Floudas
10730695,Susara Van den Heever
10730697,Vassilios S. Vassiliadis
10730698,Raúl Conejeros
10730700,Ho Ki Fung
10730720,Martin Mönnigmann
10730721,Wolfgang Marquardt
10730722,Konstantinos I. Kouramas
10730723,Vassilis Sakizlis
10730724,Efstratios N. Pistikopoulos
10730728,Steffen Rebennack
10730733,Marianthi G. Ierapetritou
10730740,Angelo Lucia
10730741,Stacy L. Janak
10730768,Conor M. McDonald
10730772,Korhan Gürsoy
10730776,Ipsita Banerjee
10730781,Vivek Dua
10730795,Metin Türkay
10730802,Yushan Zhu
10730808,Igor V. Evstigneev
10730854,Michel Minoux
10730857,Antanas Zilinskas
10730858,Julius Zilinskas
10730861,Wanpracha Art Chaovalitwongse
10730862,Chrysanthos E. Gounaris
10730866,Costas D. Maranas
10730883,Iiro Harjunkoski
10730885,Tapio Westerlund
10730891,Dimitrios I. Gerogiorgis
10730892,Vassileios D. Kosmidis
10730895,Gino J. Lim
10730908,Jung-Fa Tsai
10730910,Munawar A. Shaik
10730927,Claire S. Adjiman
10730934,André Bardow
10730943,Stefan Nickel
10730974,Zhenya Jia
10730992,Pinky Dua
10730994,Nikolaos V. Sahinidis
10731011,Mark A. Stadtherr
10731015,Heinz Schättler
10731037,Fadime Üney Yüksektepe
10731040,Ian David Lockhart Bogle
10731098,Per Olov Lindberg
10731101,Pedro M. Saraiva
10731121,Christos T. Maravelias
10731122,Alkis Vazacopoulos
10731127,Rainer E. Burkard
10731128,Eric Yang
10731131,Wei Xie
10731147,Daniel Ralph
10731160,Lazaros G. Papageorgiou
10731219,Tom Burr
10731229,Xin Zhang
10731243,Girijesh Prasad
10731246,Pasquale De Meo
10731248,Giovanni Quattrone
10731249,Domenico Ursino
10731250,Giorgio Terracina
10731254,Richi Nayak
10731299,Daniel Crabtree
10731301,Min Song 0001
10731309,Alfredo Cuzzocrea
10731445,Yew Seng Ng
10731446,Rajagopalan Srinivasan
10731452,Shuting Xu
10731464,Yong Shi 0001
10731466,Richard Weber
10731482,Hui Xiong 0001
10731486,Wenjun Zhou 0001
10731492,Xiang Zhang
10731493,Seza Orçun
10731512,Francesco Bonchi
10731541,Yuefeng Li
10731642,Farzin Deravi
10731649,Stephen J. Elliott
10731662,Raul Sánchez-Reillo
10731680,Julian Fiérrez
10731708,Thomas Vetter
10731711,Marcos Martinez-Diaz
10731757,Richard M. Guest
10731771,Wei-Yun Yau
10731792,Dmitry O. Gorodnichy
10731885,Lu Gao
10731897,Oscar Miguel-Hurtado
10731904,Javier Galbally
10731929,Kevin O'Connor
10731934,Wen Gao 0001
10731963,Vincent Conitzer
10731964,Piotr Faliszewski
10731966,Bettina Klaus
10731971,Moshe Tennenholtz
10731979,Hervé Moulin 0001
10731981,Arkadii Slinko
10731987,William Thomson
10731990,Paul Harrenstein
10732008,Andrea Omicini
10732009,Giuseppe Vizzari
10732110,Arpita Ghosh
10732128,Madhu Goyal
10732133,Antonino Nocera
10732183,Jian Yang
10732201,Huiru Zheng
10732225,Giovanni Stracquadanio
10732623,Meikang Qiu
10732658,Kenneth Sörensen
10732799,Roger Z. Ríos-Mercado
10732856,James Caverlee
